assembly_accession,organism_name,taxid,assembly_level,domain,phylum,class,order,family,genus,species,in_train,fna_path,gtf_path,genome_length,sequence_headers,num_sequences,category
GCF_015326725.1,Thermaerobacillus_caldiproteolyticus,247480,Complete Genome,bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Thermaerobacillus,Thermaerobacillus caldiproteolyticus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_015326725.1/GCF_015326725.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_015326725.1/GCF_015326725.1_annotation.gtf.gz,3789050.0,NZ_CP064060.1;NZ_CP064061.1,2.0,bacteria
GCF_014280235.1,Cyanobium_sp._NS01,261284,Complete Genome,bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Cyanobium,Cyanobium sp. NS01,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_014280235.1/GCF_014280235.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_014280235.1/GCF_014280235.1_annotation.gtf.gz,2748087.0,NZ_CP047940.1,1.0,bacteria
GCF_900142975.1,Salegentibacter_salegens,143223,Chromosome,bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,Salegentibacter salegens,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900142975.1/GCF_900142975.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900142975.1/GCF_900142975.1_annotation.gtf.gz,4010099.0,NZ_LT670848.1,1.0,bacteria
GCF_000783575.2,Proteus_mirabilis,584,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000783575.2/GCF_000783575.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000783575.2/GCF_000783575.2_annotation.gtf.gz,4077315.0,NZ_CP026062.1,1.0,bacteria
GCF_000971805.1,Mycobacteroides_chelonae,1774,Chromosome,bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides chelonae,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000971805.1/GCF_000971805.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000971805.1/GCF_000971805.1_annotation.gtf.gz,4898027.0,NZ_CP010946.1,1.0,bacteria
GCF_045689615.1,Aromatoleum_evansii,59406,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,Aromatoleum evansii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_045689615.1/GCF_045689615.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_045689615.1/GCF_045689615.1_annotation.gtf.gz,5407429.0,NZ_CP141259.1,1.0,bacteria
GCF_000299335.2,Isoalcanivorax_pacificus_W11-5,391936,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Isoalcanivorax,Isoalcanivorax pacificus W11-5,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000299335.2/GCF_000299335.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000299335.2/GCF_000299335.2_annotation.gtf.gz,4168427.0,NZ_CP004387.1,1.0,bacteria
GCF_037935975.1,Teredinibacter_turnerae,2426,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Teredinibacter,Teredinibacter turnerae,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_037935975.1/GCF_037935975.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_037935975.1/GCF_037935975.1_annotation.gtf.gz,5348823.0,NZ_CP149817.1,1.0,bacteria
GCF_000024925.1,Sanguibacter_keddieii_DSM_10542,446469,Complete Genome,bacteria,Actinomycetota,Actinomycetes,Micrococcales,Sanguibacteraceae,Sanguibacter,Sanguibacter keddieii DSM 10542,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000024925.1/GCF_000024925.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000024925.1/GCF_000024925.1_annotation.gtf.gz,4253413.0,NC_013521.1,1.0,bacteria
GCF_000165485.1,Stigmatella_aurantiaca_DW4/3-1,378806,Complete Genome,bacteria,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca DW4/3-1,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000165485.1/GCF_000165485.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000165485.1/GCF_000165485.1_annotation.gtf.gz,10260756.0,NC_014623.1,1.0,bacteria
